1,Warning
1002,A DISCONNECT error occurred.
1003,Null values were eliminated from the argument of a column function.
1004,The value of a string was truncated when assigned to a host variable.
1005,Insufficient number of entries in an SQLDA.
1007,A privilege was not granted.
0100E,The procedure generated more than the maximum allowed number of result sets. Only the first integer result sets have been returned to the caller.
1503,The number of result columns is larger than the number of host variables provided.
1504,The UPDATE or DELETE statement does not include a WHERE clause.
1506,An adjustment was made to a DATE or TIMESTAMP value to correct an invalid date resulting from an arithmetic operation.
1509,Blocking was cancelled for a cursor because there is insufficient storage in the user virtual machine.
1515,"The null value has been assigned to a host variable, because the non-null value of the column is not within the range of the host variable."
1516,An inapplicable WITH GRANT OPTION has been ignored.
1517,A character that could not be converted was replaced with a substitute character.
1519,"The null value has been assigned to a host variable, because a numeric value is out of range."
1524,The result of a column function does not include the null values that were caused by evaluating an arithmetic expression.
1526,Isolation level has been escalated.
1539,Connection is successful but only SBCS characters should be used.
1543,A duplicate constraint has been ignored.
1545,An unqualified column name has been interpreted as a correlated reference.
1550,"The index was not created, because an index with the specified description already exists."
1560,A redundant GRANT has been ignored.
1562,The new path to the log (newlogpath) in the database configuration file is invalid.
1563,The current path to the log file (logpath) is invalid. The log file path is reset to the default.
1564,"The null value has been assigned to a host variable, because division by zero occurred."
1586,Setting OFF the constraints for a parent table in a referential structure has resulted in one or more descendent tables being automatically placed into a check-pending state
1589,A statement contains redundant specifications.
1592,Error in CREATE Function
1594,Insufficient number of entries in an SQLDA for ALL information (i.e. not enough descriptors to return the distinct name).
1595,"The view has replaced an existing, invalidated view."
1596,Comparison functions were not created for a distinct type based on a long string data type.
1598,An attempt has been made to activate an active event monitor or deactivate an inactive event monitor.
1599,Bind options were ignored on REBIND.
1602,The optimization level has been reduced.
1603,CHECK DATA processing found constraint violations and moved them to exception tables.
1604,The SQL statement was explained and not executed.
1605,A recursive common table expression may contain an infinite loop.
1606,The node or system database directory is empty.
1607,The difference between the times on nodes in a read-only transactions exceed the defined threshold.
1609,The procedure generated more than the maximum allowed number of result sets. Only the first integer result sets have been returned to the caller.
1610,One or more ad hoc result sets were returned from the procedure.
1611,The cursor that was closed has been re-opened on the next result set within the chain.
1616,The estimated CPU cost exceeds the resource limit.
1618,Redistribute nodegroup is required to change data partitioning.
1620,Some base tables of UNION ALL may be the same table.
1621,The retrieved LOB value may have been changed.
1622,Statement completed successfully but a system error occurred after the statement completed.
1623,Value of DEGREE is ignored.
1626,The database has only one active bufferpool.
1627,The DATALINK value may not be valid because the table is in reconcile pending or reconcile is not possible state.
